keys,fr,en
GAME_TITLE,"SORIO","SORIO"
GAME_SUBTITLE,"La legende des 7 cristaux","The legend of the 7 crystals"
MENU_PLAY,"Jouer","Play"
MENU_CONTINUE,"Continuer","Continue"
MENU_MINIGAMES,"Mini-jeux","Mini-games"
MENU_SHOP,"Boutique","Shop"
MENU_COLLECTION,"Collection","Collection"
MENU_OPTIONS,"Options","Options"
MENU_CREDITS,"Credits","Credits"
MENU_SKIP_TUTORIAL,"Je sais deja jouer","I already know how to play"
MENU_BACK,"Retour","Back"
MENU_QUIT,"Quitter","Quit"
MENU_QUIT_CONFIRM,"Quitter SORIO ?","Quit SORIO?"
MENU_YES,"Oui","Yes"
MENU_NO,"Non","No"
BOOT_LOADING,"Chargement...","Loading..."
SLOT_EMPTY,"Nouvelle partie","New game"
SLOT_DELETE,"Effacer","Delete"
SLOT_DELETE_CONFIRM,"Effacer cette partie ?","Delete this game?"
SLOT_COMPLETION,"Complete a {0} %","{0}% complete"
SLOT_PLAYTIME,"Temps de jeu : {0}","Play time: {0}"
HUD_TIME,"Temps","Time"
HUD_AMBER,"Ambres","Amber"
PAUSE_TITLE,"Pause","Paused"
PAUSE_RESUME,"Reprendre","Resume"
PAUSE_RESTART,"Recommencer","Restart"
PAUSE_TO_MAP,"Quitter vers la carte","Quit to map"
LEVEL_COMPLETE,"Niveau termine !","Level complete!"
LEVEL_STAR_FLAG,"Drapeau atteint","Reached the flag"
LEVEL_STAR_AMBER,"3 ambres caches","3 hidden ambers"
LEVEL_STAR_TIME,"Dans les temps","Under the time limit"
GAMEOVER_TITLE,"Perdu !","Game over!"
GAMEOVER_RETRY,"Recommencer","Retry"
GAMEOVER_CONTINUE,"Continuer (50 ambres)","Continue (50 amber)"
OPTIONS_AUDIO,"Audio","Audio"
OPTIONS_CONTROLS,"Controles","Controls"
OPTIONS_DISPLAY,"Affichage","Display"
OPTIONS_ACCESSIBILITY,"Accessibilite","Accessibility"
OPTIONS_LANGUAGE,"Langue","Language"
OPTIONS_ABOUT,"A propos","About"
OPTIONS_MUSIC,"Musique","Music"
OPTIONS_SFX,"Effets","Sound effects"
OPTIONS_VOICE,"Voix","Voice"
OPTIONS_MUTE,"Tout couper","Mute all"
OPTIONS_STICK,"Stick virtuel","Virtual stick"
OPTIONS_DPAD,"Croix directionnelle","D-pad"
OPTIONS_BUTTON_SIZE,"Taille des boutons","Button size"
OPTIONS_LEFT_HANDED,"Mode gaucher","Left-handed mode"
OPTIONS_VIBRATION,"Vibration","Vibration"
OPTIONS_QUALITY,"Qualite","Quality"
OPTIONS_SCREEN_SHAKE,"Tremblement d'ecran","Screen shake"
OPTIONS_COLORBLIND,"Mode daltonien","Colorblind mode"
OPTIONS_ASSIST,"Mode assiste","Assist mode"
OPTIONS_REPLAY_TUTORIAL,"Rejouer le didacticiel","Replay tutorial"
SIZE_SMALL,"Petit","Small"
SIZE_MEDIUM,"Moyen","Medium"
SIZE_LARGE,"Grand","Large"
SIZE_HUGE,"Tres grand","Very large"
COLORBLIND_NONE,"Aucun","None"
COLORBLIND_PROTANOPIA,"Protanopie","Protanopia"
COLORBLIND_DEUTERANOPIA,"Deuteranopie","Deuteranopia"
COLORBLIND_TRITANOPIA,"Tritanopie","Tritanopia"
ASSIST_OFFER,"Veux-tu un coup de main ?","Would you like a hand?"
ASSIST_OFFER_BODY,"SORIO devient plus resistant. Tu gardes toutes tes etoiles.","SORIO becomes tougher. You keep all your stars."
WORLD_1_NAME,"Vallee des Fougeres","Fern Valley"
WORLD_2_NAME,"Marais Baveux","Drooling Swamp"
WORLD_3_NAME,"Desert des Ossements","Bone Desert"
WORLD_4_NAME,"Pics Geles","Frozen Peaks"
